Stock,Reversal Levels
AADHARHFC.NS,"[485, 441, 420, 403, 366]"
AAVAS.NS,"[1936, 1728, 1649]"
ABBOTINDIA.NS,"[31540, 30196, 29597, 29111, 28035, 27115]"
AEGISLOG.NS,"[908, 851, 774, 731, 675]"
AFFLE.NS,"[1701, 1529, 1460]"
AMBER.NS,"[6543, 6151, 5724, 4697, 4171]"
APOLLOHOSP.NS,"[7426, 7224, 6935, 6764, 6080]"
APTUS.NS,"[335, 313, 296]"
ASAHIINDIA.NS,"[771, 714, 693, 646, 621, 579]"
ASHOKLEY.NS,"[255, 236, 227, 218, 203, 194]"
ASTRAZEN.NS,"[7970, 7337, 6736, 6437]"
AXISBANK.NS,"[1223, 1185, 1151, 1048]"
BAJFINANCE.NS,"[8694, 7397, 6799, 6457]"
BAJAJFINSV.NS,"[2011, 1952, 1707, 1652, 1570]"
BAJAJHLDNG.NS,"[12631, 11238, 10315]"
BALRAMCHIN.NS,"[677, 609, 548, 521, 480, 441]"
BANKINDIA.NS,"[126, 121, 115, 97]"
BERGEPAINT.NS,"[494, 466]"
BPCL.NS,"[363, 321, 291]"
BHARTIARTL.NS,"[1901, 1771, 1717, 1641, 1578, 1525, 1468]"
CHALET.NS,"[1017, 915, 873, 831, 800, 766]"
CHAMBLFERT.NS,"[549, 510, 478]"
CHOLAHLDNG.NS,"[1997, 1718, 1632, 1532, 1437]"
CHOLAFIN.NS,"[1660, 1452, 1394, 1348, 1204]"
COFORGE.NS,"[8089, 7195, 6301]"
CREDITACC.NS,"[1328, 1179, 1083, 861]"
DOMS.NS,"[3069, 2924, 2580, 2256]"
DALBHARAT.NS,"[1967, 1922, 1818, 1757, 1702]"
DIVISLAB.NS,"[6256, 6001, 5782, 5499, 4634]"
DIXON.NS,"[18940, 15404, 14497, 13510, 12675]"
EICHERMOT.NS,"[5485, 5324, 5065, 4954, 4734, 4592]"
ERIS.NS,"[1514, 1417, 1275, 1181, 1044]"
NYKAA.NS,"[179, 160]"
FEDERALBNK.NS,"[206, 198, 190, 185]"
FSL.NS,"[379, 356, 335, 314, 296]"
FORTIS.NS,"[735, 672, 620, 583, 510]"
GVT&D.NS,"[1806, 1693, 1570]"
GMRAIRPORT.NS,"[102, 92, 86, 78, 70]"
GICRE.NS,"[445, 419, 401, 385, 368, 349]"
GLAXO.NS,"[3047, 2936, 2801, 2688, 2574]"
MEDANTA.NS,"[1295, 1246, 1196, 1116, 1058]"
GODREJIND.NS,"[1238, 1062, 951, 881, 834]"
GRASIM.NS,"[2833, 2784, 2635, 2512, 2307]"
HEG.NS,"[514, 459, 425, 398]"
HDFCBANK.NS,"[1962, 1890, 1783, 1744, 1681, 1630]"
HDFCLIFE.NS,"[759, 716, 608]"
HINDPETRO.NS,"[448, 398, 379]"
HOMEFIRST.NS,"[1341, 1211, 1147, 1103, 1028]"
ICICIBANK.NS,"[1389, 1346, 1288, 1249, 1204]"
INDIANB.NS,"[609, 593, 556, 527, 505]"
IEX.NS,"[195, 187, 166]"
INDHOTEL.NS,"[842, 756, 719, 660, 597]"
INDUSTOWER.NS,"[458, 408, 388, 376, 363, 323]"
INDIGO.NS,"[5589, 5101, 4493, 4223]"
JKCEMENT.NS,"[5048, 4824, 4518, 4364, 4212]"
JSWSTEEL.NS,"[1063, 1039, 1013, 964, 944]"
JUBLFOOD.NS,"[740, 713, 642, 567]"
KOTAKBANK.NS,"[2074, 1985, 1920, 1851, 1791, 1738]"
KIMS.NS,"[661, 634, 592, 559, 516, 434]"
LTF.NS,"[187, 177, 163, 158, 150, 134]"
LAURUSLABS.NS,"[651, 622, 589, 560, 521, 479, 446, 423]"
LEMONTREE.NS,"[151, 131, 116]"
LLOYDSME.NS,"[1329, 1175, 1015, 938, 780]"
MAHSEAMLES.NS,"[664, 632, 606, 570]"
M&M.NS,"[3211, 2940, 2840, 2708, 2633]"
MANAPPURAM.NS,"[240, 224, 215, 199, 177]"
MARICO.NS,"[691, 646, 605, 588]"
MARUTI.NS,"[13234, 12708, 12146, 11922, 11514, 11046]"
MAXHEALTH.NS,"[1209, 1080, 972, 916, 853]"
MUTHOOTFIN.NS,"[2308, 2100, 2033, 1945, 1749]"
NHPC.NS,"[97, 92, 85, 80, 73]"
NAVINFLUOR.NS,"[3849, 3687, 3260]"
NESTLEIND.NS,"[2536, 2441, 2325, 2269, 2178]"
PAYTM.NS,"[945, 815, 686, 428]"
PGEL.NS,"[1024, 864, 742, 675, 566]"
PNBHOUSING.NS,"[999, 927, 874, 810, 763]"
PTCIL.NS,"[14998, 13583, 12801, 11441]"
PAGEIND.NS,"[47373, 42811, 41130, 39787]"
PATANJALI.NS,"[2001, 1901, 1752, 1649]"
RADICO.NS,"[2606, 2458, 2255, 1891, 1648]"
RELIANCE.NS,"[1526, 1452, 1323, 1229, 1166]"
SBICARD.NS,"[828, 743, 688, 666]"
SRF.NS,"[3056, 2728, 2642, 2495, 2385, 2209]"
SARDAEN.NS,"[512, 473, 442, 247]"
SAREGAMA.NS,"[568, 537, 516, 493, 466, 444]"
SHREECEM.NS,"[29230, 28301, 27284, 25306, 24202]"
SHRIRAMFIN.NS,"[722, 614, 577]"
SHYAMMETL.NS,"[940, 880, 816, 728, 693]"
SUNDARMFIN.NS,"[5353, 5035, 4847, 4687, 4482, 4299, 4075]"
SYRMA.NS,"[568, 527, 505, 468, 421]"
